"Customweb_Subscription::Not all products are available in the requested quantity.","Not all products are available in the requested quantity."
"Customweb_Subscription::Not initialized","Not initialized"
"Customweb_Subscription::Notify Low Stock RSS","Notify low stock RSS"
"Customweb_Subscription::Number of billing periods that make up one billing cycle.","Number of billing periods that make up one billing cycle."
"Customweb_Subscription::One or more errors occured when processing scheduled jobs.","One or more errors occurred when processing scheduled jobs."
"Customweb_Subscription::Only an authorized transaction can be marked as finally declined.","Only authorized transactions can be marked as finally declined."
"Customweb_Subscription::Only an uncertain transaction can be marked as finally declined.","Only uncertain transactions can be marked as finally declined."
"Customweb_Subscription::Only authorized transaction can be cancelled.","Only authorised transaction can be cancelled."
"Customweb_Subscription::Only authorized transaction can be captured.","Only authorised transactions can be captured."
"Customweb_Subscription::Only authorized transaction can be refunded.","Only authorised transaction can be refunded."
"Customweb_Subscription::Only captured transaction can be refunded.","Only captured transaction can be refunded."
"Customweb_Subscription::Only on captured transaction the flag customer refusing to pay can be set.","It is only possible to set a flag for customers refusing to pay on captured transactions."
"Customweb_Subscription::Operation Mode","Operation mode"
"Customweb_Subscription::Order #","Order Number"
"Customweb_Subscription::Order Email Template","Order Email Template"
"Customweb_Subscription::Order Prefix","Order Prefix"
"Customweb_Subscription::Order Status","Order Status"
"Customweb_Subscription::Order Total","Order total"
"Customweb_Subscription::Orders Based on This Subscription","Orders Based on This Subscription"
"Customweb_Subscription::Paid","Paid"
"Customweb_Subscription::Pay","Pay"
"Customweb_Subscription::Payment Attempts","Payment Attempts"
"Customweb_Subscription::Payment ID","Payment ID"
"Customweb_Subscription::Payment Method","Payment period"
"Customweb_Subscription::Payment Methods","Payment period"
"Customweb_Subscription::Payment Term","Payment Term"
"Customweb_Subscription::Payment from applicable countries","Payment from applicable countries"
"Customweb_Subscription::Payment from specific countries","Payment from specific countries"
"Customweb_Subscription::Payments","Payments"
"Customweb_Subscription::Payments Made","Payments made"
"Customweb_Subscription::Pending","Pending"
"Customweb_Subscription::Pending Email Template","E-mail template 'Pending'"
"Customweb_Subscription::Period Of Notice","Period of notice"
"Customweb_Subscription::Period of Notice","Period of notice"
"Customweb_Subscription::Please check the entered CVC number.","Please check the entered CVC number."
"Customweb_Subscription::Please check the entered credit card number.","Please check the entered credit card number."
"Customweb_Subscription::Please define at least one payment attempt.","Please set at least one payment attempt."
"Customweb_Subscription::Please enter here the Bank Identifier Code (BIC).","Please enter here the Bank Identifier Code (BIC)."
"Customweb_Subscription::Please enter here the CVC code from your card. You find the code on the back of the card.","Please enter the CVC code from your card. You can find the code on the back of the card."
"Customweb_Subscription::Please enter here the International Bank Account Number (IBAN).","Please enter here the International Bank Account Number (IBAN)."
"Customweb_Subscription::Please enter here the account holder name on the card.","Please enter here the account holder name on the card."
"Customweb_Subscription::Please enter here the account holder name.","Please enter here the account holder name."
"Customweb_Subscription::Please enter here the account number of your bank account.","Please enter here the International Bank Account Number (IBAN)."
"Customweb_Subscription::Please enter here the bank code of your bank.","Please enter here the bank code of your bank"
"Customweb_Subscription::Please enter here the card holder name on the card.","Please enter the card holder's name."
"Customweb_Subscription::Please enter here the commercial number of your company.","Please enter the commercial number of your company."
"Customweb_Subscription::Please enter here the name of the account owner.","Please enter the name of the account owner"
"Customweb_Subscription::Please enter here the number on your card.","Please enter your card number."
"Customweb_Subscription::Please enter here the sales tax number of your company.","Please enter here the sales tax number of your company."
"Customweb_Subscription::Please enter here your social security number.","Please enter your social security number."
"Customweb_Subscription::Please enter the location of your bank.","Please enter the location of your bank."
"Customweb_Subscription::Please enter the name of your bank.","Please enter the name of your bank."
"Customweb_Subscription::Please enter your IBAN number.","Please enter your IBAN number."
"Customweb_Subscription::Please enter your issue number, if there is no CVC code on your card.","Please enter your issue number, if there is no CVC code on your card."
"Customweb_Subscription::Please select","Please select"
"Customweb_Subscription::Please select the Bank Identifier Code (BIC) of your bank.","Please select the Bank Identifier Code (BIC) of your bank."
"Customweb_Subscription::Please select the day of your birth.","Please select the day of your birth."
"Customweb_Subscription::Please select the expiry month on your card.","You have to enter the month of the card expiry"
"Customweb_Subscription::Please select the expiry year on your card.","Please select your card's year of expiry."
"Customweb_Subscription::Please select the month of your birth.","Please select the month of your birth."
"Customweb_Subscription::Please select the the year of your birth.","Please select the the year of your birth."
"Customweb_Subscription::Price","Price"
"Customweb_Subscription::Product","Product"
"Customweb_Subscription::Product Filter","Product Filter"
"Customweb_Subscription::Product Name","Product name"
"Customweb_Subscription::Purchased From (Store)","Purchased from (store)"
"Customweb_Subscription::Purchased Item","Purchased item"
"Customweb_Subscription::Purchased Items","Purchased items"
"Customweb_Subscription::Purchased On","Purchased on"
"Customweb_Subscription::Qty","Qty"
"Customweb_Subscription::Recurring Guest Order Email Template","Recurring Guest Order Email Template"
"Customweb_Subscription::Recurring Order Email Template","Recurring Order Email Template"
"Customweb_Subscription::Reference Id","Reference ID"
"Customweb_Subscription::Refund Amount","Refunded amount"
"Customweb_Subscription::Refund ID","Refund ID"
"Customweb_Subscription::Refund amount","Refunded amount"
"Customweb_Subscription::Refund status","Refund status"
"Customweb_Subscription::Refunded Amount","Refunded amount"
"Customweb_Subscription::Related Orders","Related Orders"
"Customweb_Subscription::Release Date","Release Date"
"Customweb_Subscription::Reminder Emails","Reminder Emails"
"Customweb_Subscription::Repeats %s time(s) after cancelation request.","Repeats %s time(s) after cancellation request."
"Customweb_Subscription::Repeats %s time(s).","Repeats %s time(s)."
"Customweb_Subscription::Repeats until canceled.","Repeats before cancelled."
"Customweb_Subscription::Rounding Adjustment","Rounding Adjustments"
"Customweb_Subscription::Row Total","Row Total"
"Customweb_Subscription::Run Test Cron","Run Test Cron"
"Customweb_Subscription::SEPA Mandate ID","SEPA Mandate ID"
"Customweb_Subscription::SKU","SKU"
"Customweb_Subscription::Sales","Sales"
"Customweb_Subscription::Sales Tax Number","Sales Tax Number"
"Customweb_Subscription::Save","Save"
"Customweb_Subscription::Saved cards:","Saved cards:"
"Customweb_Subscription::Schedule","Schedule"
"Customweb_Subscription::Schedule Information","Schedule information"
"Customweb_Subscription::Select Brand","Select card brand"
"Customweb_Subscription::Select a subscription plan:","Select a subscription plan:"
"Customweb_Subscription::Select the authorization method to use for processing this payment method.","Select the authorisation method to use in order to process this payment method."
"Customweb_Subscription::Select the date of your birth.","Select your date of birth."
"Customweb_Subscription::Select the date on which your card expires.","Select the expiry date of your card."
"Customweb_Subscription::Select the payment methods that are allowed to be used for subscriptions.","Select the payment methods that are allowed to be used for subscriptions."
"Customweb_Subscription::Select the products that cannot be used in subscriptions.","Select the products that cannot be used in subscriptions."
"Customweb_Subscription::Select the unit for the number in the previous field.","Select the unit for the number in the previous field."
"Customweb_Subscription::Select which email template should be sent as reminder. You can edit the templates yourself under System > Transactional Emails.","Select which email template should be sent as reminder. You can edit the templates yourself under System > Transactional Emails."
"Customweb_Subscription::Send Invoice Email","Send Invoice Email"
"Customweb_Subscription::Set the checkbox text of the subscription agreement box in the checkout review.","Set the checkbox text of the subscription agreement box in the checkout review."
"Customweb_Subscription::Set the sort order to show the external checkouts.","Set the sort order to show the external checkouts."
"Customweb_Subscription::Set the text of the subscription agreement box in the checkout review.","Set the text of the subscription agreement box in the checkout review."
"Customweb_Subscription::Set the title of the subscription agreement box in the checkout review.","Set the text of the subscription agreement box in the checkout review."
"Customweb_Subscription::Set to no, if the subscription should keep running even when a payment is pending.","Set to no, if the subscription should keep running even when a payment is pending."
